EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/18/2026 18:11:14.991
Technique started on : 02/18/2026 18:11:17.828
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\Ni10Co10_2-17_01_ZIR_C01.mpr
Saved on :
	File : Co40_2_18_02_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Co40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              0.200               
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
1.2495361E+004	2.640719953931693E+001	1.4561098E-002	1.165320314936005E-003	1.6968343E-008	1.4450198E-002	0
1.1480298E+004	2.660719953426451E+001	1.2533643E-002	1.091752420622458E-003	1.3683636E-008	1.2450199E-002	0
1.1086472E+004	2.680719952921208E+001	1.0538233E-002	9.505488265702036E-004	1.0017104E-008	1.0450198E-002	0
1.1634521E+004	2.700719952415966E+001	8.5160844E-003	7.319669722925717E-004	6.2334924E-009	8.4501998E-003	0
9.2752754E+003	2.720719951910723E+001	6.5705390E-003	7.083928484588158E-004	4.6545230E-009	6.4502000E-003	0
8.5440078E+003	2.740719951405481E+001	4.5600617E-003	5.337146038790061E-004	2.4337716E-009	4.4502006E-003	0
6.5282632E+003	2.760719950900238E+001	2.5427935E-003	3.895053701044654E-004	9.9043174E-010	2.4502007E-003	0
1.9376638E+003	2.780719950394996E+001	5.3634727E-004	2.768009995397570E-004	1.4846147E-010	4.5020133E-004	0
9.7608555E+003	2.800719949889753E+001	-1.4817701E-003	1.518073971544630E-004	-2.2494366E-010	-1.5497986E-003	0
2.6992020E+006	2.820719949384511E+001	-3.4428055E-003	-1.275490071717345E-006	4.3912643E-012	-3.5497991E-003	0
3.5633313E+004	2.840719948879268E+001	-5.4532844E-003	-1.530389372419454E-004	8.3456486E-010	-5.5497987E-003	0
2.6020313E+004	2.860719948374026E+001	-7.4264146E-003	-2.854083518626935E-004	2.1195607E-009	-7.5497995E-003	0
2.1074363E+004	2.880719947868783E+001	-9.4290432E-003	-4.474177069147328E-004	4.2187209E-009	-9.5497994E-003	0
1.7636762E+004	2.900719947363541E+001	-1.1415543E-002	-6.472584328020749E-004	7.3888065E-009	-1.1549799E-002	0
1.6453088E+004	2.920719946858299E+001	-1.3428567E-002	-8.161730587488720E-004	1.0960035E-008	-1.3549800E-002	0
1.6411191E+004	2.940719946353056E+001	-1.5473210E-002	-9.428450265059861E-004	1.4588839E-008	-1.5549798E-002	0
1.4552696E+004	2.960719945847814E+001	-1.7453980E-002	-1.199363940004937E-003	2.0933674E-008	-1.7549800E-002	0
1.3940783E+004	2.980719945342571E+001	-1.9430082E-002	-1.393758314432027E-003	2.7080839E-008	-1.9549802E-002	0
1.3623439E+004	3.000719944837329E+001	-2.1439498E-002	-1.573721453408894E-003	3.3739799E-008	-2.1549800E-002	0
1.2560925E+004	3.020719944332086E+001	-2.3472046E-002	-1.868655951205882E-003	4.3861178E-008	-2.3549799E-002	0
1.2011547E+004	3.040719943826844E+001	-2.5437539E-002	-2.117757183181569E-003	5.3870533E-008	-2.5549805E-002	0
1.1640112E+004	3.060719943321601E+001	-2.7457567E-002	-2.358874753624231E-003	6.4768962E-008	-2.7549801E-002	0
1.0872455E+004	3.080719942816359E+001	-2.9450860E-002	-2.708758896224357E-003	7.9775276E-008	-2.9549802E-002	0
1.0803853E+004	3.100719942311116E+001	-3.1464733E-002	-2.912362321519384E-003	9.1636700E-008	-3.1549804E-002	0
1.0206070E+004	3.120719941805874E+001	-3.3431705E-002	-3.275668799597252E-003	1.0951119E-007	-3.3549804E-002	0
9.9989727E+003	3.140719941300631E+001	-3.5470407E-002	-3.547405056092814E-003	1.2582790E-007	-3.5549801E-002	0
9.5018994E+003	3.160719940795389E+001	-3.7415531E-002	-3.937689679296488E-003	1.4733075E-007	-3.7549805E-002	0
9.1404385E+003	3.180719940290146E+001	-3.9486274E-002	-4.319954192244219E-003	1.7057890E-007	-3.9549805E-002	0
8.7631016E+003	3.200719939784904E+001	-4.1397866E-002	-4.724111095508521E-003	1.9556812E-007	-4.1549798E-002	0
8.4790459E+003	3.220719939279661E+001	-4.3465640E-002	-5.126241636756835E-003	2.2281537E-007	-4.3549806E-002	0
8.2184766E+003	3.240719938774419E+001	-4.5455318E-002	-5.530868863464919E-003	2.5140741E-007	-4.5549806E-002	0
7.8349541E+003	3.260719938269176E+001	-4.7447972E-002	-6.055934936409532E-003	2.8734183E-007	-4.7549799E-002	0
7.5587495E+003	3.280719937763934E+001	-4.9470127E-002	-6.544750226849524E-003	3.2376963E-007	-4.9549811E-002	0
7.2716538E+003	3.300719937258691E+001	-5.1442407E-002	-7.074375015729911E-003	3.6392288E-007	-5.1549807E-002	0
6.9623267E+003	3.320719936753449E+001	-5.3451821E-002	-7.677293107649558E-003	4.1036529E-007	-5.3549800E-002	0
6.7290400E+003	3.340719936248206E+001	-5.5405010E-002	-8.233716984951539E-003	4.5618916E-007	-5.5549812E-002	0
6.4857749E+003	3.360719935742964E+001	-5.7448592E-002	-8.857629557832869E-003	5.0885836E-007	-5.7549812E-002	0
6.1967119E+003	3.380719935237721E+001	-5.9446335E-002	-9.593205790583426E-003	5.7028092E-007	-5.9549805E-002	0
5.9540508E+003	3.400719934732479E+001	-6.1431557E-002	-1.031760712665808E-002	6.3382669E-007	-6.1549809E-002	0
5.7367178E+003	3.420719934227236E+001	-6.3433342E-002	-1.105742735328638E-002	7.0140959E-007	-6.3549809E-002	0
5.5076514E+003	3.440719933721994E+001	-6.5434694E-002	-1.188068931914135E-002	7.7740930E-007	-6.5549798E-002	0
5.3191997E+003	3.460719933216751E+001	-6.7415476E-002	-1.267398797836712E-002	8.5442292E-007	-6.7549810E-002	0
5.1008047E+003	3.480719932711509E+001	-6.9425523E-002	-1.361070042016735E-002	9.4492998E-007	-6.9549814E-002	0
4.9254741E+003	3.500719932206266E+001	-7.1433455E-002	-1.450285790374616E-002	1.0359893E-006	-7.1549803E-002	0
4.7574878E+003	3.520719931701024E+001	-7.3427379E-002	-1.543406496255272E-002	1.1332829E-006	-7.3549807E-002	0
4.5929878E+003	3.540719931195781E+001	-7.5448893E-002	-1.642697493615933E-002	1.2393971E-006	-7.5549811E-002	0
4.4318462E+003	3.560719930690539E+001	-7.7420115E-002	-1.746904441509745E-002	1.3524555E-006	-7.7549808E-002	0
4.2756353E+003	3.580719930185296E+001	-7.9409584E-002	-1.857258143421370E-002	1.4748409E-006	-7.9549812E-002	0
4.1412139E+003	3.600719929680054E+001	-8.1415609E-002	-1.965984206949206E-002	1.6006180E-006	-8.1549816E-002	0
4.0229109E+003	3.620719929174811E+001	-8.3498657E-002	-2.075578064233800E-002	1.7330798E-006	-8.3549798E-002	0
3.9102437E+003	3.640719928669569E+001	-8.5421063E-002	-2.184545761291062E-002	1.8660622E-006	-8.5549809E-002	0
3.7989382E+003	3.660719928164326E+001	-8.7444276E-002	-2.301808333596167E-002	2.0127995E-006	-8.7549813E-002	0
3.6928630E+003	3.680719927659084E+001	-8.9465149E-002	-2.422650064203935E-002	2.1674275E-006	-8.9549802E-002	0
3.6046584E+003	3.700719927153841E+001	-9.1481581E-002	-2.537871053829882E-002	2.3216846E-006	-9.1549814E-002	0
3.5152356E+003	3.720719926648599E+001	-9.3476772E-002	-2.659189434512999E-002	2.4857245E-006	-9.3549818E-002	0
3.4349182E+003	3.740719926143356E+001	-9.5438451E-002	-2.778478011582888E-002	2.6517364E-006	-9.5549807E-002	0
3.3579409E+003	3.760719925638114E+001	-9.7424746E-002	-2.901323914713738E-002	2.8266074E-006	-9.7549811E-002	0
3.2837017E+003	3.780719925132871E+001	-9.9421851E-002	-3.027736971919294E-002	3.0102321E-006	-9.9549815E-002	0
3.2280139E+003	3.800719924627629E+001	-1.0142766E-001	-3.142107162907581E-002	3.1869658E-006	-1.0154980E-001	0
3.1648267E+003	3.820719924122386E+001	-1.0343432E-001	-3.268245883341958E-002	3.3804879E-006	-1.0354982E-001	0
3.1087283E+003	3.840719923617144E+001	-1.0545350E-001	-3.392174937144610E-002	3.5771673E-006	-1.0554982E-001	0
3.0578909E+003	3.860719923111901E+001	-1.0742833E-001	-3.513151163403205E-002	3.7741195E-006	-1.0754980E-001	0
3.0110029E+003	3.880719922606659E+001	-1.0943647E-001	-3.634551956102924E-002	3.9775255E-006	-1.0954981E-001	0
2.9697578E+003	3.900719922101416E+001	-1.1145926E-001	-3.753142926869424E-002	4.1832250E-006	-1.1154981E-001	0
